x,y,depth
0.01,0.01,0.01068
0.06,0.01,0.01070
0.16,0.01,0.01120
0.26,0.01,0.01098
0.36,0.01,0.01134
0.46,0.01,0.01120
0.56,0.01,0.01094
0.66,0.01,0.01106
0.76,0.01,0.01084
0.86,0.01,0.01046
0.91,0.01,0.01058
0.01,0.06,0.01046
0.06,0.06,0.01070
0.16,0.06,0.01174
0.26,0.06,0.01234
0.36,0.06,0.01266
0.46,0.06,0.01274
0.56,0.06,0.01238
0.66,0.06,0.01226
0.76,0.06,0.01142
0.86,0.06,0.01072
0.91,0.06,0.01110
0.01,0.16,0.01052
0.06,0.16,0.01090
0.16,0.16,0.01250
0.26,0.16,0.01390
0.36,0.16,0.01476
0.46,0.16,0.01482
0.56,0.16,0.01444
0.66,0.16,0.01322
0.76,0.16,0.01200
0.86,0.16,0.01126
0.91,0.16,0.01082
0.01,0.26,0.01062
0.06,0.26,0.01106
0.16,0.26,0.01274
0.26,0.26,0.01424
0.36,0.26,0.01548
0.46,0.26,0.01550
0.56,0.26,0.01476
0.66,0.26,0.01364
0.76,0.26,0.01212
0.86,0.26,0.01054
0.91,0.26,0.01056
0.01,0.36,0.01058
0.06,0.36,0.01050
0.16,0.36,0.01168
0.26,0.36,0.01284
0.36,0.36,0.01412
0.46,0.36,0.01442
0.56,0.36,0.01396
0.66,0.36,0.01372
0.76,0.36,0.01156
0.86,0.36,0.01016
0.91,0.36,0.00998
0.01,0.46,0.01038
0.06,0.46,0.00980
0.16,0.46,0.01150
0.26,0.46,0.01150
0.36,0.46,0.01244
0.46,0.46,0.01278
0.56,0.46,0.01272
0.66,0.46,0.01168
0.76,0.46,0.01050
0.86,0.46,0.00968
0.91,0.46,0.00966
